Name,Phone,Website,Rating,Reviews,Category,Address,System_Link_ID
Kenneth Ingram,(256) 212-9700,,,,Attorney,"712 Cherokee Rd, Alexander City, AL 35010 ",https://www.google.com/maps/place/Kenneth+Ingram/data=!4m7!3m6!1s0x888c0b6854857d3f:0x88243d57ea7d04cf!8m2!3d32.9374664!4d-85.9531668!16s%2Fg%2F11cs4gqh97!19sChIJP32FVGgLjIgRzwR96lc9JIg?authuser=0&hl=en&rclk=1
Marsha C Mason Law Firm,(256) 329-1313,https://www.mcmasonlaw.com/,5.0,,Bankruptcy attorney,"217 Madison St, Alexander City, AL 35010 ",https://www.google.com/maps/place/Marsha+C+Mason+Law+Firm/data=!4m7!3m6!1s0x888c0b8eaf403785:0x589f1a1f4efabc1f!8m2!3d32.9425102!4d-85.9525228!16s%2Fg%2F11fj9ykbr5!19sChIJhTdAr44LjIgRH7z6Th8an1g?authuser=0&hl=en&rclk=1
"Nancy Kirby Law Office, LLC",(256) 377-2100,https://www.nancykirbylaw.com/,3.9,,Law firm,"14000 AL-22, Rockford, AL 35136 ","https://www.google.com/maps/place/Nancy+Kirby+Law+Office,+LLC/data=!4m7!3m6!1s0x888c03644c90117d:0xc347195cdbea1880!8m2!3d32.8898104!4d-86.2201538!16s%2Fg%2F11g_zlf8m9!19sChIJfRGQTGQDjIgRgBjq21wZR8M?authuser=0&hl=en&rclk=1"
Fuller Joseph,(256) 392-4300,,5.0,,Attorney,"157 Main St, Alexander City, AL 35010 ",https://www.google.com/maps/place/Fuller+Joseph/data=!4m7!3m6!1s0x888c0b6afdcb7f3d:0xbe799a2b9004edff!8m2!3d32.944012!4d-85.9538532!16s%2Fg%2F1tg35_7f!19sChIJPX_L_WoLjIgR_-0EkCuaeb4?authuser=0&hl=en&rclk=1
Gregory Varner & Associates,(888) 378-0246,https://www.gregvarnerlaw.com/,5.0,,Law firm,"104 Court Square, Ashland, AL 36251 ",https://www.google.com/maps/place/Gregory+Varner+%26+Associates/data=!4m7!3m6!1s0x888b913fbfb39a2f:0xcb072f8d342505b2!8m2!3d33.2743557!4d-85.8362967!16s%2Fg%2F11rc9xh0gw!19sChIJL5qzvz-Ri4gRsgUlNI0vB8s?authuser=0&hl=en&rclk=1
"Dr. Vincent Law, MD",(256) 234-4295,https://weence.com/medical/doctors/alexander-city/dr-vincent-law-md/,2.9,,Family practice physician,"859 Airport Dr, Alexander City, AL 35010 ","https://www.google.com/maps/place/Dr.+Vincent+Law,+MD/data=!4m7!3m6!1s0x888c0b9613585cbb:0xe82130027b497092!8m2!3d32.9202718!4d-85.9512515!16s%2Fg%2F1tj1sw14!19sChIJu1xYE5YLjIgRknBJewIwIeg?authuser=0&hl=en&rclk=1"
Treadwell III Mark Allen,(256) 825-9296,https://olivertreadwell.com/,3.8,,Attorney,"129 W Columbus St, Dadeville, AL 36853 ",https://www.google.com/maps/place/Treadwell+III+Mark+Allen/data=!4m7!3m6!1s0x888c7aaa52f390fb:0x60bc7bf72c15eff!8m2!3d32.8304847!4d-85.7642207!16s%2Fg%2F1tfkx295!19sChIJ-5DzUqp6jIgR_17Bcr_HCwY?authuser=0&hl=en&rclk=1
"Chris McCrane, Esq.",(256) 825-7393,,4.0,,Legal services,"167 S Broadnax St, Dadeville, AL 36853 ","https://www.google.com/maps/place/Chris+McCrane,+Esq./data=!4m7!3m6!1s0x888c7ba65a74046f:0x53a1d110276dde78!8m2!3d32.8297575!4d-85.7633122!16s%2Fg%2F11txp1pq0t!19sChIJbwR0WqZ7jIgReN5tJxDRoVM?authuser=0&hl=en&rclk=1"
Sizemore Jr James M,(256) 409-1985,,1.0,,Attorney,"6732 AL-63, Alexander City, AL 35010 ",https://www.google.com/maps/place/Sizemore+Jr+James+M/data=!4m7!3m6!1s0x888c0d6e6d41de77:0xb53a9d670b6fbad8!8m2!3d32.8559115!4d-85.9601877!16s%2Fg%2F1tsr3ztj!19sChIJd95BbW4NjIgR2LpvC2edOrU?authuser=0&hl=en&rclk=1
Thomas David,(256) 234-2547,,4.0,,Attorney,"56 Court Square, Alexander City, AL 35010 ",https://www.google.com/maps/place/Thomas+David/data=!4m7!3m6!1s0x888c0b6b1bba1889:0x853128936aedad0c!8m2!3d32.9434929!4d-85.9544442!16s%2Fg%2F1thf9b4h!19sChIJiRi6G2sLjIgRDK3tapMoMYU?authuser=0&hl=en&rclk=1
Whatley Disability,(256) 409-1891,,4.8,,Legal services,"228 Calhoun St, Alexander City, AL 35010 ",https://www.google.com/maps/place/Whatley+Disability/data=!4m7!3m6!1s0x888c0b6ac9c1228d:0x4e7e93bc0923ae64!8m2!3d32.9455224!4d-85.9519699!16s%2Fg%2F12608xkzz!19sChIJjSLByWoLjIgRZK4jCbyTfk4?authuser=0&hl=en&rclk=1
LAKE MARTIN CLOSINGS,(256) 373-3376,,4.6,,Real estate attorney,"5958 AL-49 Suite G, Dadeville, AL 36853 ",https://www.google.com/maps/place/LAKE+MARTIN+CLOSINGS/data=!4m7!3m6!1s0x888922e585552c09:0xbc7e4e759ec2b53!8m2!3d32.756917!4d-85.786906!16s%2Fg%2F1tdxlnc0!19sChIJCSxVheUiiYgRUyvsWefkxws?authuser=0&hl=en&rclk=1
Gillenwaters Charles R,(256) 234-5018,,3.6,,Attorney,"107 Main St, Alexander City, AL 35010 ",https://www.google.com/maps/place/Gillenwaters+Charles+R/data=!4m7!3m6!1s0x888c0b6afd749a3f:0xc44ac9b7ec18de2f!8m2!3d32.9439618!4d-85.9530192!16s%2Fg%2F1tc_rskg!19sChIJP5p0_WoLjIgRL94Y7LfJSsQ?authuser=0&hl=en&rclk=1
Faye Edmondson PC,(256) 825-9559,,4.0,,Attorney,"135 N Tallassee St, Dadeville, AL 36853 ",https://www.google.com/maps/place/Faye+Edmondson+PC/data=!4m7!3m6!1s0x888c7aaa493b3a5d:0x8d93363a906cd73f!8m2!3d32.8311551!4d-85.7648111!16s%2Fg%2F1tk1ztm_!19sChIJXTo7Sap6jIgRP9dskDo2k40?authuser=0&hl=en&rclk=1
5th Judicial Circuit District Attorney's Office,(256) 234-2735,http://5thcircuitda.org/,,,State government office,"395 Lee St, Alexander City, AL 35010 ",https://www.google.com/maps/place/5th+Judicial+Circuit+District+Attorney%27s+Office/data=!4m7!3m6!1s0x888c0b6c7c064e4f:0x827ea8e08b0723b4!8m2!3d32.9391516!4d-85.9576644!16s%2Fg%2F1tj33xjt!19sChIJT04GfGwLjIgRtCMHi-CofoI?authuser=0&hl=en&rclk=1
"Nancy Kirby Law Office, LLC",(256) 329-0432,http://www.nancykirbylaw.com/,4.5,,Attorney,"416 S Central Ave, Alexander City, AL 35010 ","https://www.google.com/maps/place/Nancy+Kirby+Law+Office,+LLC/data=!4m7!3m6!1s0x888c0b0292c0ed01:0x2088cc93de3449be!8m2!3d32.9400294!4d-85.955382!16s%2Fg%2F11rzcptvw8!19sChIJAe3AkgILjIgRvkk03pPMiCA?authuser=0&hl=en&rclk=1"
"FULLER HAMPTON, LLC",(256) 392-4300,https://www.fullerhampton.com/,4.5,,Bankruptcy attorney,"422 Church St, Alexander City, AL 35010 ","https://www.google.com/maps/place/FULLER+HAMPTON,+LLC/data=!4m7!3m6!1s0x888c0b6999a9d13f:0x42ed7fced759e725!8m2!3d32.9400144!4d-85.9535508!16s%2Fg%2F11bbwm9f7j!19sChIJP9GpmWkLjIgRJedZ185_7UI?authuser=0&hl=en&rclk=1"
Henderson Law Firm,(334) 478-3196,http://www.jh-legal.com/,5.0,,Law firm,"4031 US-231, Wetumpka, AL 36093 ",https://www.google.com/maps/place/Henderson+Law+Firm/data=!4m7!3m6!1s0x888c273b896e1fe3:0x964cbdf62565ac55!8m2!3d32.5003222!4d-86.2179126!16s%2Fg%2F11h1zwhphy!19sChIJ4x9uiTsnjIgRVaxlJfa9TJY?authuser=0&hl=en&rclk=1
Morris Haynes Attorneys At Law,(256) 329-2000,https://www.mhhlaw.net/alexander-city-attorneys/?utm_source=GMB&utm_medium=organic&utm_campaign=alexandercity,4.9,,Personal injury attorney,"131 Main St, Alexander City, AL 35010 ",https://www.google.com/maps/place/Morris+Haynes+Attorneys+At+Law/data=!4m7!3m6!1s0x888c0b6afda7c169:0x58578afb4120cd1!8m2!3d32.9435037!4d-85.9530502!16s%2Fg%2F1th1dhdg!19sChIJacGn_WoLjIgR0QwStK94hQU?authuser=0&hl=en&rclk=1
"Radney, Radney & Jackson, LLC",(256) 570-6139,https://www.radneylaw.com/?npcmp=dir:local:3392815:35010,4.6,,Criminal justice attorney,"56 Court Square, Alexander City, AL 35010 ","https://www.google.com/maps/place/Radney,+Radney+%26+Jackson,+LLC/data=!4m7!3m6!1s0x888c0b6b1bba190b:0xb634ebf08b76022e!8m2!3d32.9434955!4d-85.954524!16s%2Fg%2F1tnblxkf!19sChIJCxm6G2sLjIgRLgJ2i_DrNLY?authuser=0&hl=en&rclk=1"
Chuck Reynolds,(256) 329-1333,,4.4,,Attorney,"149 Main St, Alexander City, AL 35010 ",https://www.google.com/maps/place/Chuck+Reynolds/data=!4m7!3m6!1s0x888c0b6afdb49f8d:0x2ceb6ecba16669fd!8m2!3d32.9431564!4d-85.9531484!16s%2Fg%2F1tfbjhjn!19sChIJjZ-0_WoLjIgR_Wlmoctu6yw?authuser=0&hl=en&rclk=1
E Daine Sharpe Law Offices PC: Sharpe E Daine,(256) 825-4631,http://www.dainesharpelaw.com/,5.0,,Personal injury attorney,"134 N Broadnax St, Dadeville, AL 36853 ",https://www.google.com/maps/place/E+Daine+Sharpe+Law+Offices+PC:+Sharpe+E+Daine/data=!4m7!3m6!1s0x888c7aabb6fda3cb:0x310e25f580c20445!8m2!3d32.8312035!4d-85.7634824!16s%2Fg%2F1th82qmd!19sChIJy6P9tqt6jIgRRQTCgPUlDjE?authuser=0&hl=en&rclk=1
Barnes & Radney,(256) 329-8438,,5.0,,Attorney,"80 N Central Ave, Alexander City, AL 35010 ",https://www.google.com/maps/place/Barnes+%26+Radney/data=!4m7!3m6!1s0x888c0b6c9c47ead5:0xd6f9e68fa50fd965!8m2!3d32.9443455!4d-85.9562662!16s%2Fg%2F1tgcb8lp!19sChIJ1epHnGwLjIgRZdkPpY_m-dY?authuser=0&hl=en&rclk=1
Reynolds Robin F,(256) 825-8251,,5.0,,Personal injury attorney,"139 S Broadnax St, Dadeville, AL 36853 ",https://www.google.com/maps/place/Reynolds+Robin+F/data=!4m7!3m6!1s0x888c7aaba8564667:0xaf6dff2bd0e9d1d0!8m2!3d32.8301308!4d-85.7633277!16s%2Fg%2F1tgn5hwl!19sChIJZ0ZWqKt6jIgR0NHp0Cv_ba8?authuser=0&hl=en&rclk=1
Spindler Law,(800) 809-9414,https://kssattorney.com/,5.0,,Law firm,"119 Main St suite 204, Alexander City, AL 35010 ",https://www.google.com/maps/place/Spindler+Law/data=!4m7!3m6!1s0x888c0bbd4b1cabbb:0x68da40e21b4b1073!8m2!3d32.9438183!4d-85.9531198!16s%2Fg%2F11vb9v6wyw!19sChIJu6scS70LjIgRcxBLG-JA2mg?authuser=0&hl=en&rclk=1
Brown Danny,(256) 329-1552,,,,Attorney,"956 Cherokee Rd, Alexander City, AL 35010 ",https://www.google.com/maps/place/Brown+Danny/data=!4m7!3m6!1s0x888c0b67f96c5e31:0xbc382c931bae14!8m2!3d32.9350391!4d-85.95191!16s%2Fg%2F1tfpqggc!19sChIJMV5s-WcLjIgRFK4bkyw4vAA?authuser=0&hl=en&rclk=1
Jason Jackson,(256) 234-2547,http://radneylaw.com/,4.2,,Attorney,"56 Court Square, Alexander City, AL 35010 ",https://www.google.com/maps/place/Jason+Jackson/data=!4m7!3m6!1s0x888c0b6b1bba190b:0xb39ced102c40a1be!8m2!3d32.9434675!4d-85.9544482!16s%2Fg%2F1tg5cwps!19sChIJCxm6G2sLjIgRvqFALBDtnLM?authuser=0&hl=en&rclk=1
Harrison Law Firm,(256) 825-7393,,4.6,,Law firm,"169 S Broadnax St, Dadeville, AL 36853 ",https://www.google.com/maps/place/Harrison+Law+Firm/data=!4m7!3m6!1s0x888c7aaa52c7288f:0x25d279ee21733d5d!8m2!3d32.8297354!4d-85.7633297!16s%2Fg%2F1tglnnz3!19sChIJjyjHUqp6jIgRXT1zIe550iU?authuser=0&hl=en&rclk=1
Law Office of Patrick Mahaney,(334) 277-3974,http://www.mahaneylaw.com/,4.6,,Criminal justice attorney,"8650 Minnie Brown Rd #150, Montgomery, AL 36117 ",https://www.google.com/maps/place/Law+Office+of+Patrick+Mahaney/data=!4m7!3m6!1s0x888c2c873adc8475:0xf4238b5389508c26!8m2!3d32.3592469!4d-86.1429413!16s%2Fg%2F1td6nf94!19sChIJdYTcOocsjIgRJoxQiVOLI_Q?authuser=0&hl=en&rclk=1
Waters Lydia A,(256) 825-2977,,5.0,,Attorney,"114 W Cusseta St, Dadeville, AL 36853 ",https://www.google.com/maps/place/Waters+Lydia+A/data=!4m7!3m6!1s0x888c7aabb5edfa9b:0x914fcb78f9b0b055!8m2!3d32.8316869!4d-85.763905!16s%2Fg%2F1vlzc41m!19sChIJm_rttat6jIgRVbCw-XjLT5E?authuser=0&hl=en&rclk=1
Gavin Mitchell E,(256) 329-2211,http://www.mitchgavinlaw.net/,4.7,,Attorney,"1258 Lee St, Alexander City, AL 35010 ",https://www.google.com/maps/place/Gavin+Mitchell+E/data=!4m7!3m6!1s0x888c0b7789c4cc43:0x2c0cfaa6330e7afb!8m2!3d32.9356381!4d-85.9698607!16s%2Fg%2F1tfjrgts!19sChIJQ8zEiXcLjIgR-3oOM6b6DCw?authuser=0&hl=en&rclk=1
Hill Angie J,(256) 329-6088,,3.4,,Attorney,"218 S Central Ave, Alexander City, AL 35010 ",https://www.google.com/maps/place/Hill+Angie+J/data=!4m7!3m6!1s0x888c0b6c0bf766a7:0x514f944fe6c8864c!8m2!3d32.9419086!4d-85.956245!16s%2Fg%2F1v16r1zx!19sChIJp2b3C2wLjIgRTIbI5k-UT1E?authuser=0&hl=en&rclk=1
District Attorneys Office,(256) 234-6643,,1.0,,District attorney,"395 Lee St, Alexander City, AL 35010 ",https://www.google.com/maps/place/District+Attorneys+Office/data=!4m7!3m6!1s0x888c0b6c7c064f13:0xf89e2e043940145b!8m2!3d32.9430438!4d-85.9564015!16s%2Fg%2F113j0qwpz!19sChIJE08GfGwLjIgRWxRAOQQunvg?authuser=0&hl=en&rclk=1
Derrick Blythe Attorney at Law,(256) 234-4101,,4.3,,Family law attorney,"151 Alabama St, Alexander City, AL 35010 ",https://www.google.com/maps/place/Derrick+Blythe+Attorney+at+Law/data=!4m7!3m6!1s0x888c0b6af582de6d:0x5272587f5f8a1851!8m2!3d32.9444965!4d-85.9523035!16s%2Fg%2F1tx1tz5y!19sChIJbd6C9WoLjIgRURiKX39YclI?authuser=0&hl=en&rclk=1
Wheeles Todd M,(256) 329-2000,http://www.mhhlaw.net/,5.0,,Attorney,"131 Main St, Alexander City, AL 35010 ",https://www.google.com/maps/place/Wheeles+Todd+M/data=!4m7!3m6!1s0x888c0b6afda7c169:0xd8fe81637f301fc6!8m2!3d32.9435199!4d-85.9530751!16s%2Fg%2F1tvq4x65!19sChIJacGn_WoLjIgRxh8wf2OB_tg?authuser=0&hl=en&rclk=1
Mc Intyre Robin T,(256) 825-0123,,5.0,,Attorney,"185 S Tallassee St, Dadeville, AL 36853 ",https://www.google.com/maps/place/Mc+Intyre+Robin+T/data=!4m7!3m6!1s0x888c7aaae6994ad7:0xb236fd3a41a3924f!8m2!3d32.8294135!4d-85.7642351!16s%2Fg%2F1tfv1b2p!19sChIJ10qZ5qp6jIgRT5KjQTr9NrI?authuser=0&hl=en&rclk=1
A G Wilson,(256) 329-3100,,3.5,,Attorney,"157 Main St, Alexander City, AL 35010 ",https://www.google.com/maps/place/A+G+Wilson/data=!4m7!3m6!1s0x888c0b696d31c599:0x9438f7c9995f7202!8m2!3d32.9430009!4d-85.9530621!16s%2Fg%2F1tcy9p5b!19sChIJmcUxbWkLjIgRAnJfmcn3OJQ?authuser=0&hl=en&rclk=1
Davis Dianne,(256) 392-3172,,5.0,,Attorney,"107 Main St, Alexander City, AL 35010 ",https://www.google.com/maps/place/Davis+Dianne/data=!4m7!3m6!1s0x888c0b6b0930b937:0xad0692298932135!8m2!3d32.9439739!4d-85.9530075!16s%2Fg%2F1wv_s_2m!19sChIJN7kwCWsLjIgRNSGTmCJp0Ao?authuser=0&hl=en&rclk=1
